market,decision_utc,h,target_r,entry,stop,tp,stake,score,post_range_gate,mature,coverage,bars,expected_bars,result,gross_pct,net_pct,gross_r,net_r,mfe_pct,mae_pct,minutes_to_peak,exit_utc,ambiguous_stop_tp,gap_below_stop,captured_positive_upside,net_pnl_guide_eur,fee_plus_slippage_each_side
BONK-EUR,2026-09-21T09:34:30.769419+00:00,24,1.4,2.8797e-06,2.6269e-06,3.23362e-06,127.01145210210001,9.946,True,True,1.0,287,287,HORIZON_MARK,4.5421,3.8129,0.5174,0.405,11.97,-3.0871,1245.49,2026-09-22T09:30:00+00:00,False,False,0.3795,4.8428,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,24,1.5,2.8797e-06,2.6269e-06,3.2589000000000003e-06,127.01145210210001,9.946,True,True,1.0,287,287,HORIZON_MARK,4.5421,3.8129,0.5174,0.405,11.97,-3.0871,1245.49,2026-09-22T09:30:00+00:00,False,False,0.3795,4.8428,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,24,1.6,2.8797e-06,2.6269e-06,3.28418e-06,127.01145210210001,9.946,True,True,1.0,287,287,HORIZON_MARK,4.5421,3.8129,0.5174,0.405,11.97,-3.0871,1245.49,2026-09-22T09:30:00+00:00,False,False,0.3795,4.8428,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,24,2,2.8797e-06,2.6269e-06,3.3853e-06,127.01145210210001,9.946,True,True,1.0,287,287,HORIZON_MARK,4.5421,3.8129,0.5174,0.405,11.97,-3.0871,1245.49,2026-09-22T09:30:00+00:00,False,False,0.3795,4.8428,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,4,1.4,0.030916,0.028836,0.033828,162.06666981192646,7.196,True,True,1.0,47,47,HORIZON_MARK,-0.3364,-1.0316,-0.05,-0.1398,4.8939,-2.6815,199.53,2026-09-21T13:50:00+00:00,False,False,0.0,-1.6719,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,4,1.5,0.030916,0.028836,0.034036,162.06666981192646,7.196,True,True,1.0,47,47,HORIZON_MARK,-0.3364,-1.0316,-0.05,-0.1398,4.8939,-2.6815,199.53,2026-09-21T13:50:00+00:00,False,False,0.0,-1.6719,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,4,1.6,0.030916,0.028836,0.034244,162.06666981192646,7.196,True,True,1.0,47,47,HORIZON_MARK,-0.3364,-1.0316,-0.05,-0.1398,4.8939,-2.6815,199.53,2026-09-21T13:50:00+00:00,False,False,0.0,-1.6719,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,4,2,0.030916,0.028836,0.035075,162.06666981192646,7.196,True,True,1.0,47,47,HORIZON_MARK,-0.3364,-1.0316,-0.05,-0.1398,4.8939,-2.6815,199.53,2026-09-21T13:50:00+00:00,False,False,0.0,-1.6719,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,12,1.4,0.030916,0.028836,0.033828,162.06666981192646,7.196,True,True,1.0,143,143,HORIZON_MARK,-4.3214,-4.9888,-0.6423,-0.6761,4.8939,-5.0815,199.53,2026-09-21T21:50:00+00:00,False,False,0.0,-8.0852,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,12,1.5,0.030916,0.028836,0.034036,162.06666981192646,7.196,True,True,1.0,143,143,HORIZON_MARK,-4.3214,-4.9888,-0.6423,-0.6761,4.8939,-5.0815,199.53,2026-09-21T21:50:00+00:00,False,False,0.0,-8.0852,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,12,1.6,0.030916,0.028836,0.034244,162.06666981192646,7.196,True,True,1.0,143,143,HORIZON_MARK,-4.3214,-4.9888,-0.6423,-0.6761,4.8939,-5.0815,199.53,2026-09-21T21:50:00+00:00,False,False,0.0,-8.0852,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,12,2,0.030916,0.028836,0.035075,162.06666981192646,7.196,True,True,1.0,143,143,HORIZON_MARK,-4.3214,-4.9888,-0.6423,-0.6761,4.8939,-5.0815,199.53,2026-09-21T21:50:00+00:00,False,False,0.0,-8.0852,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,24,1.4,0.030916,0.028836,0.033828,162.06666981192646,7.196,True,True,1.0,287,287,STOP,-6.7279,-7.3785,-1.0,-1.0,4.8939,-8.2029,199.53,2026-09-22T06:00:00+00:00,False,False,0.0,-11.9581,0.0035
KMNO-EUR,2026-09-21T09:50:28.328058+00:00,24,1.5,0.030916,0.028836,0.034036,162.06666981192646,7.196,True,True,1.0,287,287,STOP,-6.7279,-7.3785,-1.0,-1.0,4.8939,-8.2029,199.53,2026-09-22T06:00:00+00:00,False,False,0.0,-11.9581,0.0035
