market,decision,h,coverage,old_result,chronological_result,old_close_pct,chronological_close_pct,old_bars,archive_bars
WIF-EUR,2026-09-22T08:58:09.751910+00:00,4,1.0,OPEN,HORIZON_MARK,-0.7743,4.1118,47,47
WIF-EUR,2026-09-22T08:58:09.751910+00:00,12,1.0,OPEN,HORIZON_MARK,-0.7743,-3.7113,139,143
LAPTOP-EUR,2026-09-22T11:20:06.964864+00:00,4,1.0,STOP,STOP,-0.8321,-9.0244,48,47
FLOCK-EUR,2026-09-22T11:52:05.893172+00:00,4,1.0,OPEN,HORIZON_MARK,-0.9657,13.5526,45,47
UNI-EUR,2026-09-22T12:53:38.535005+00:00,4,1.0,OPEN,HORIZON_MARK,-0.2616,-4.0347,48,47
GOAT-EUR,2026-09-22T13:18:59.284728+00:00,4,1.0,OPEN,HORIZON_MARK,0.0,-1.1894,31,47
PYTH-EUR,2026-09-22T14:24:29.779812+00:00,4,1.0,OPEN,HORIZON_MARK,0.8421,1.4248,42,47
NOS-EUR,2026-09-22T15:37:52.481877+00:00,4,1.0,OPEN,HORIZON_MARK,-1.8308,-3.751,31,47
SAGA-EUR,2026-09-22T16:30:15.142903+00:00,4,1.0,OPEN,HORIZON_MARK,0.2791,-3.0382,29,47
MERL-EUR,2026-09-22T16:47:58.557786+00:00,4,1.0,OPEN,HORIZON_MARK,-0.6536,-0.1523,39,47
EPIC-EUR,2026-09-22T17:00:58.306962+00:00,4,1.0,OPEN,HORIZON_MARK,0.9733,-1.5283,41,47
APE-EUR,2026-09-22T17:36:30.897702+00:00,4,1.0,OPEN,HORIZON_MARK,-0.0872,-0.5231,40,47
STO-EUR,2026-09-22T17:36:30.897702+00:00,4,1.0,OPEN,HORIZON_MARK,-1.2668,-5.8831,29,47
